"","stfips","region","year","ymcaid","white","income_pc","hospitals_pc","beds_pc","mort_rate","child_pop","afdc_rate"
"192",9,1,1964,1966,1,3.258,0.021467878,4.8557425,190.39584,744809.88,0.96046317
"193",9,1,1968,1966,1,4.243,0.018234922,4.5695362,160.52791,782766.81,0.96046317
"194",9,1,1967,1966,1,4.018,0.018568916,4.5500722,165.69554,773277.56,0.96046317
"195",10,3,1963,1966,0,3.055,0.027265197,7.0218368,491.40689,24979,11.54299
"196",10,3,1966,1966,0,3.607,0.021683222,6.3827519,482.40549,27228,11.54299
"197",10,3,1973,1966,0,5.858,0.018994993,5.3047833,272.06122,30722,11.54299
"198",10,3,1965,1966,0,3.477,0.026149791,6.5394592,440.2854,26478.334,11.54299
"199",10,3,1974,1966,0,6.336,0.015433448,4.8118062,256.95193,30553,11.54299
"200",10,3,1970,1966,0,4.594,0.01813207,5.5484138,392.1348,30024,11.54299
"201",10,3,1962,1966,0,2.937,0.027859362,6.919837,479.32687,24229.334,11.54299
"202",10,3,1964,1966,0,3.216,0.026695849,6.8402977,482.33875,25728.666,11.54299
"203",10,3,1961,1966,0,2.823,0.028479995,7.0170326,529.30902,23479.666,11.54299
"204",10,3,1959,1966,0,2.738,0.029990451,7.2876797,482.62244,21709.5,11.54299
"205",10,3,1967,1966,0,3.78,0.01932466,5.8534398,427.37082,27977.666,11.54299
"206",10,3,1969,1966,0,4.406,0.020453282,6.0541716,435.22061,29477,11.54299
"207",10,3,1968,1966,0,4.072,0.018952237,5.6117573,394.12448,28727.334,11.54299
"208",10,3,1972,1966,0,5.297,0.017426947,5.0869255,403.28775,30711,11.54299
"209",10,3,1960,1966,0,2.817,0.029128911,7.0469556,488.68329,22730,11.54299
"210",10,3,1971,1966,0,4.888,0.017692633,5.4068685,293.0546,30571,11.54299
"211",10,3,1962,1966,1,2.937,0.027859362,6.919837,179.85425,124222,0.69369686
"212",10,3,1966,1966,1,3.607,0.021683222,6.3827519,175.18642,130990,0.69369686
"213",10,3,1963,1966,1,3.055,0.027265197,7.0218368,205.65042,125914,0.69369686
"214",10,3,1964,1966,1,3.216,0.026695849,6.8402977,177.74786,127606,0.69369686
"215",10,3,1965,1966,1,3.477,0.026149791,6.5394592,188.71942,129298,0.69369686
"216",10,3,1973,1966,1,5.858,0.018994993,5.3047833,137.06389,128834,0.69369686
"217",10,3,1971,1966,1,4.888,0.017692633,5.4068685,142.27644,135396,0.69369686
"218",10,3,1972,1966,1,5.297,0.017426947,5.0869255,140.94334,132706,0.69369686
"219",10,3,1960,1966,1,2.817,0.029128911,7.0469556,183.76691,120838,0.69369686
"220",10,3,1970,1966,1,4.594,0.01813207,5.5484138,162.39183,135731,0.69369686
"221",10,3,1959,1966,1,2.738,0.029990451,7.2876797,203.8215,115697.4,0.69369686
"222",10,3,1961,1966,1,2.823,0.028479995,7.0170326,206.83405,122530,0.69369686
"223",10,3,1968,1966,1,4.072,0.018952237,5.6117573,151.16766,134374,0.69369686
"224",10,3,1967,1966,1,3.78,0.01932466,5.8534398,163.68022,132682,0.69369686
"225",10,3,1969,1966,1,4.406,0.020453282,6.0541716,183.29153,136066,0.69369686
"226",10,3,1974,1966,1,6.336,0.015433448,4.8118062,151.15488,124870,0.69369686
"227",11,3,1974,1968,0,7.252,0.023586281,9.7439089,297.24979,139265,3.7599699
"228",11,3,1975,1968,0,8.034,0.023933414,9.6310873,319.4632,132165,3.7599699
"229",11,3,1965,1968,0,3.756,0.022312058,8.8683863,387.93423,157719,3.7599699
"230",11,3,1972,1968,0,6.026,0.024200769,10.05542,287.74823,154703,3.7599699
"231",11,3,1973,1968,0,6.47,0.024533957,9.8326645,270.33231,147526,3.7599699
"232",11,3,1969,1968,0,4.483,0.023675146,9.9422455,331.93567,171727,3.7599699
"233",11,3,1967,1968,0,4.234,0.023649812,9.2799234,320.80661,164723,3.7599699
