"stfips","region","year","year_mcaid","income_pc","hospitals_pc","beds_pc","child_pop","afdc_rate","public_insurance_child"
23,1,1964,1966,2.196,0.050292168,4.628932,376851.899291992,2.0641463,0.003425151985789
23,1,1965,1966,2.365,0.050227191,4.7259688,377048.100708008,2.0641463,0.0031286373699764
23,1,1966,1966,2.513,0.051186103,5.0008821,377244.333374023,2.0641463,0.0078093610798676
23,1,1967,1966,2.63,0.05112014,5.0649834,377440.550292969,2.0641463,0.0215944896485918
23,1,1968,1966,2.84,0.052075434,5.2616611,377636.782958984,2.0641463,0.0309821508580761
23,1,1969,1966,3.138,0.050988723,5.2834516,377833,2.0641463,0.0453487494227373
23,1,1970,1966,3.413,0.049091555,5.2427778,381041,2.0641463,0.0758920975388552
23,1,1971,1966,3.59,0.04824359,5.2565823,384254,2.0641463,0.0852600922144957
23,1,1972,1966,3.858,0.045418702,5.0588703,386611,2.0641463,0.0968446897674046
23,1,1973,1966,4.308,0.048737042,5.2502217,385049,2.0641463,0.119906750415923
23,1,1974,1966,4.747,0.049996745,6.0486627,384251,2.0641463,0.139709623410644
23,1,1975,1966,5.026,0.048449297,5.9806929,383319,2.0641463,0.151289555215988
23,1,1976,1966,5.698,0.046790536,5.7368865,382064,2.0641463,0.157267336636518
24,3,1963,1966,2.657,0.01847823,4.7271485,1315446.671875,2.2319593,0.0293208321519483
24,3,1964,1966,2.812,0.017731683,4.6256437,1347801.21875,2.2319593,0.0341193762865035
24,3,1965,1966,2.98,0.017021082,4.4325738,1380155.78125,2.2319593,0.036120065906054
24,3,1966,1966,3.206,0.016343897,4.3264232,1412510.328125,2.2319593,0.0382836411146913
24,3,1967,1966,3.438,0.015968472,4.3055329,1444864.890625,2.2319593,0.0835009916845723
24,3,1968,1966,3.751,0.015345333,4.1601729,1477219.453125,2.2319593,0.0812337003495957
24,3,1969,1966,4.199,0.015008328,4.1886172,1509574,2.2319593,0.0989364425998708
24,3,1970,1966,4.558,0.014961355,4.0808997,1520652,2.2319593,0.0906078425586008
24,3,1971,1966,4.881,0.014419002,4.0226526,1531730,2.2319593,0.105729830836088
24,3,1972,1966,5.281,0.014701836,4.0368791,1527638,2.2319593,0.120160428529916
24,3,1973,1966,5.805,0.015088576,4.0627208,1508967,2.2319593,0.129734772491625
24,3,1974,1966,6.368,0.016209694,4.3797626,1488030,2.2319593,0.128457763038676
24,3,1975,1966,6.89,0.016357273,4.3859143,1467190,2.2319593,0.129461961618273
24,3,1976,1966,7.534,0.016538387,4.4366021,1440475,2.2319593,0.134333164786201
25,1,1963,1966,2.783,0.032713756,6.3026619,1925996.35351562,1.8901258,0.0121378335184503
25,1,1964,1966,2.916,0.03181025,6.3382392,1953738.1171875,1.8901258,0.0140977958183141
