st_id,mta_name,swipes2011,swipes2012,swipes2013,swipes2014,swipes2015,swipes2016
42,"Bay Ridge Av R subway",2538150,2522369,2525470,2597559,2623309,2622438
43,"Bay Ridge-95 St R subway",1769432,1809829,1830193,1858200,1865038,1853049
44,"Bedford Av  L subway",7738863,8342397,9214395,9892516,9388289,9688560
45,"Bedford-Nostrand Avs G subway ",2012606,2138852,2348998,2513681,2634066,2697942
46,"Bergen St  2 subway 3 subway",1326721,1397036,1296199,1236513,1210571,1231084
47,"Bergen St  F subway G subway",3452452,3529174,3650848,3711317,3708300,3599389
48,"Beverley Rd Q subway",1095502,950243,737652,838970,899663,953903
49,"Beverly Rd  2 subway 5 subway",1276466,1274789,1364573,1360719,1392643,1379958
50,"Brighton Beach B subway Q subway",3842789,3781554,3810743,3872092,4014831,4044514
51,"Broadway  G subway",995856,1023397,1071877,1124407,1313362,1397227
52,"Broadway Junction A subway C subway J subway L subway Z subway",2810713,2862830,2948156,3018656,3133658,3085401
53,"Bushwick Av-Aberdeen St L subway",405385,427032,490042,563577,598393,672880
54,"Canarsie-Rockaway Pkwy L subway",3865823,3920243,4062690,4175970,4024313,3897784
55,"Carroll St  F subway G subway",3598477,3961111,3782675,3616947,3672702,3563150
56,"Central Av M subway",890194,992142,505757,970531,1141731,1158274
57,"Chauncey St  J subway Z subway",966989,964735,938803,959091,1045698,1092483
58,"Church Av  2 subway 5 subway",3057877,2987887,3059215,3020066,3070551,3027658
59,"Church Av  B subway Q subway",4665059,4982615,5603898,5482093,5707573,5438775
60,"Church Av  F subway G subway",3271729,3081142,3193844,3201585,3353795,3315387
61,"Clark St  2 subway 3 subway",1754204,1855650,1972314,2018876,1997148,2000024
62,"Classon Av  G subway",1308232,1355886,1432872,1477256,1604508,1581663
63,"Cleveland St J subway",1002848,1029708,1050261,1107397,1120403,1104683
64,"Clinton-Washington Avs C subway ",1819542,1891559,2104035,2077312,2060200,2152345
65,"Clinton-Washington Avs G subway",1628558,1637463,1678004,1652336,1716023,1656058
66,"Coney Island-Stillwell Av D subway F subway N subway Q subway",4649438,4733106,4690794,4980140,5132083,5025598
67,"Cortelyou Rd  Q subway",2135444,1992781,1700177,1806758,1961144,1978254
