client_zip,las_race_key,hispanic_flag,age,year,male,dismissal,loc2,st_id
11213,Black,N,24,2016,1,0,nostrand ave and fulton st a c station,131
11233,Black,N,20,2016,1,1,rockaway ave c line,141
11212,Black,N,23,2016,1,0,atlantic ave l line,26
11212,White,Y,28,2016,1,1,marcy ave j m z line,114
11233,Black,N,23,2016,1,1,van siclen av a c station,152
,Black,N,23,2016,1,1,bedford ave l station,44
10009,Black,N,33,2016,1,,myrtle - wyckoff avs station,119
11213,Black,N,29,2016,1,1,bedford ave l station,44
,,N,19,2016,1,1,myrtle - wyckoff avs station,119
10003,Black,N,19,2016,1,1,broadway junction station,52
11217,White,N,35,2016,1,0,hoyt-schermerhorn a c g line,98
11213,,N,22,2016,1,1,utica ave and eastern parkway,70
11412,,N,19,2016,1,1,jay st - metrotech,99
11355,Unknown,N,29,2016,1,0,sheepshead bay b q line,143
20843,Black,N,24,2016,1,0,hoyt-schermerhorn a c g line,98
11208,Black,N,25,2016,1,0,coney island-stillwell ave,66
11204,Black,N,18,2016,1,1,sheepshead bay b q line,143
10456,Hispanic,N,36,2016,0,1,coney island-stillwell ave,66
11212,Hispanic,N,29,2016,1,0,livonia ave l line,111
10459,Black,N,21,2016,1,0,coney island-stillwell ave,66
,Black,N,46,2016,1,0,utica ave and eastern parkway,70
11207,White,N,29,2016,0,0,liberty av c line station,110
11208,Black,N,51,2016,1,1,grant ave a line,91
11225,Black,N,41,2016,1,1,eastern pkwy-brooklyn museum 2 subway 3 subway,76
11237,Black,N,20,2016,1,1,marcy ave j m z line,114
11208,Black,N,49,2016,1,0,clinton - washington avs station,64
11233,Black,N,25,2016,1,0,graham ave l line,88
11385,Asian or Pacific Islander,N,30,2016,1,1,myrtle - wyckoff avs station,119
11207,Black,N,43,2016,1,1,broadway and lorimer st j m station,112
11212,Black,N,25,2016,1,0,prospect park subway station b q s lines,138
11236,Black,N,25,2016,1,,utica ave and fulton st,150
11212,Black,N,27,2016,1,0,livonia ave l line,111
,Black,N,18,2016,1,1,halsey street j subway,93
10452,Black,N,46,2016,1,0,livonia ave l line,111
11231,White,N,33,2016,1,0,bergen st f subway g subway,47
11212,Black,Y,39,2016,1,1,utica ave and eastern parkway,70
11207,Black,N,53,2016,1,0,liberty av c line station,110
11214,White,N,19,2016,1,0,bay 50 st d subway,38
11208,Black,N,55,2016,1,0,rockaway ave c line,141
11212,Black,N,18,2016,1,1,livonia ave l line,111
11207,Black,N,33,2016,1,0,atlantic ave l line,26
11207,Black,N,26,2016,1,1,pennsylvania ave 3 line station,135
11216,Black,N,21,2016,1,1,rockaway ave 3 line,140
11212,Black,N,20,2016,1,0,marcy ave j m z line,114
11221,White,N,30,2016,1,1,morgan ave l station,116
11211,Black,N,49,2016,1,0,graham ave l line,88
11207,White,N,29,2016,1,1,marcy ave j m z line,114
10460,Black,N,25,2016,0,1,sheepshead bay b q line,143
10466,Black,N,26,2016,1,1,hoyt st 2 3,97
11206,Black,N,32,2016,1,0,marcy ave j m z line,114
11434,Black,N,33,2016,1,1,broadway junction station,52
11226,Black,N,24,2016,1,1,flatbush av-brooklyn college station,78
11221,White,N,18,2016,1,,utica ave and fulton st,150
11432,Black,N,51,2016,1,0,utica ave and fulton st,150
11213,White,N,50,2016,1,1,euclid av a subway a subway,77
11249,White,Y,19,2016,1,0,marcy ave j m z line,114
,Black,N,37,2016,1,0,utica ave and eastern parkway,70
11238,Black,N,28,2016,1,0,utica ave and eastern parkway,70
10001,Black,N,53,2016,1,0,747 new lots ave,124
11213,Black,N,50,2016,1,0,gates av j subway z subway,87
11106,Black,N,36,2016,1,0,rockaway ave c line,141
11221,Black,N,25,2016,1,0,utica ave and fulton st,150
11207,White,N,16,2016,1,,van siclen av j z station,153
10465,White,N,20,2016,1,0,747 new lots ave,124
11233,Black,N,20,2016,0,1,utica ave and eastern parkway,70
11207,Black,N,24,2016,1,0,jefferson st l line station,100
11238,White,Y,19,2016,1,1,jefferson st l line station,100
11213,Black,N,22,2016,1,0,utica ave and eastern parkway,70
11225,Black,N,34,2016,1,0,van siclen av a c station,152
,Black,N,29,2016,1,1,atlantic ave barclays center station,27
,Black,N,47,2016,1,0,rockaway ave c line,141
11225,Black,N,30,2016,1,,franklin ave and eastern parkway,84
11233,Black,N,27,2016,1,0,atlantic ave l line,26
11237,White,N,18,2016,1,1,myrtle - wyckoff avs station,119
11221,Black,N,25,2016,1,1,van siclen av 3 line,151
11225,Black,N,18,2016,1,0,utica ave and eastern parkway,70
11205,Black,N,21,2016,0,1,coney island-stillwell ave,66
11213,Black,N,38,2016,1,0,utica ave and eastern parkway,70
,Black,N,20,2016,1,,sheepshead bay b q line,143
11212,Black,N,26,2016,1,0,coney island-stillwell ave,66
11204,White,Y,56,2016,1,1,coney island-stillwell ave,66
11206,Black,N,51,2016,1,0,winthrop street station 2 5 line,156
11224,,N,16,2016,1,,jay st - metrotech,99
11208,Black,N,32,2016,1,0,liberty av c line station,110
11208,White,Y,18,2016,1,0,alabama av j subway,25
11221,Black,N,18,2016,0,1,rockaway ave 3 line,140
11103,Other,N,19,2016,1,0,dekalb ave b q r line,72
11203,Black,N,22,2016,1,,atlantic ave barclays center station,27
11217,Black,N,18,2016,0,1,hoyt-schermerhorn a c g line,98
11212,Black,N,32,2016,1,0,rockaway ave c line,141
11204,White,N,16,2016,1,1,bay parkway n line and 66th st,41
10453,Black,Y,22,2016,1,,rockaway ave 3 line,140
11231,White,N,27,2016,1,1,hoyt-schermerhorn a c g line,98
11207,Black,Y,43,2016,1,1,broadway and lorimer st j m station,112
11218,Unknown,N,33,2016,1,0,van siclen av a c station,152
,Black,Y,35,2016,1,0,myrtle av and broadway station,117
11233,Black,N,29,2016,1,0,halsey street j subway,93
11229,White,N,18,2016,1,1,brighton beach b subway q subway,50
10468,Black,N,42,2016,1,1,coney island-stillwell ave,66
10022,Black,N,21,2016,0,1,utica ave and eastern parkway,70
11220,Black,N,32,2016,1,0,utica ave and eastern parkway,70
11221,White,N,31,2016,1,1,marcy ave j m z line,114
11203,Black,N,27,2016,0,1,court st r subway/borough hall 2 subway 3 subway 4 subway 5 subway,68
11233,Black,N,32,2016,1,0,canarsie rockaway pkwy,54
11216,Black,N,47,2016,1,0,liberty av c line station,110
11216,Black,N,29,2016,1,0,bedford ave l station,44
11212,White,N,46,2016,1,0,canarsie rockaway pkwy,54
11212,White,N,41,2016,1,0,canarsie rockaway pkwy,54
11691,Black,N,31,2016,1,1,cleveland st j subway,63
11215,Black,N,37,2016,1,0,van siclen av a c station,152
,White,Y,47,2016,1,0,20th ave and 86th st,5
,Black,N,18,2016,1,0,coney island-stillwell ave,66
11211,Black,N,34,2016,1,0,marcy ave j m z line,114
10452,Black,N,32,2016,1,0,atlantic ave l line,26
11233,Black,N,38,2016,1,1,utica ave and fulton st,150
10003,Black,N,22,2016,1,1,broadway and lorimer st j m station,112
,Black,N,37,2016,1,0,utica ave and eastern parkway,70
11207,Black,N,17,2016,1,0,high street - brooklyn bridge station,96
11208,Black,N,58,2016,1,1,norwood ave j z line,129
11239,Black,N,31,2016,1,1,hoyt-schermerhorn a c g line,98
10463,White,N,21,2016,1,1,coney island-stillwell ave,66
11216,Black,N,40,2016,1,0,coney island-stillwell ave,66
11206,Black,N,19,2016,1,1,myrtle - willoughby avs g line,118
11432,Black,N,28,2016,1,1,canarsie rockaway pkwy,54
11222,White,N,34,2016,1,0,86 street r subway,23
11212,White,Y,26,2016,1,0,rockaway ave 3 line,140
11207,White,N,22,2016,1,1,broadway junction station,52
11203,Black,N,19,2016,1,0,utica ave and eastern parkway,70
11236,Black,N,26,2016,1,0,graham ave l line,88
11226,White,N,18,2016,1,1,newkirk plaza b q line,128
11234,Black,N,30,2016,1,1,marcy ave j m z line,114
11208,Black,N,17,2016,0,0,livonia ave l line,111
10027,Black,N,48,2016,1,0,canarsie rockaway pkwy,54
11233,Black,N,30,2016,1,0,nevins st 2 3 4 5 lines,123
11208,Black,N,52,2016,1,0,graham ave l line,88
10472,Black,N,27,2016,1,0,nevins st 2 3 4 5 lines,123
11212,White,Y,17,2016,1,1,flushing ave j line m line station,80
11212,Black,N,29,2016,1,1,sutter avenue station l line,147
,Black,N,37,2016,1,1,45 st r subway,11
11434,Black,N,24,2016,1,1,clinton - washington avs station,64
11233,,N,17,2016,0,1,nostrand ave and fulton st a c station,131
78218,Black,N,28,2016,1,1,coney island-stillwell ave,66
11233,Black,N,32,2016,1,0,broadway junction station,52
11433,,N,41,2016,1,1,45 st r subway,11
11429,Black,N,29,2016,1,0,winthrop street station 2 5 line,156
11216,Black,N,16,2016,1,,prospect park subway station b q s lines,138
11435,,N,20,2016,1,1,kingston - throop avs,106
11203,Black,N,20,2016,1,1,nevins st 2 3 4 5 lines,123
11224,White,N,29,2016,1,1,coney island-stillwell ave,66
11433,,N,27,2016,1,1,marcy ave j m z line,114
11221,Latino,N,45,2016,1,1,myrtle - wyckoff avs station,119
11204,White,N,53,2016,1,1,fort hamilton pkwy d line,81
11226,Black,N,20,2016,1,,church ave and nostrand ave,58
11221,White,N,19,2016,1,0,kosciuszko st j subway,108
11221,Hispanic,N,53,2016,1,0,kosciuszko st j subway,108
11221,Black,N,42,2016,1,0,myrtle av and broadway station,117
11237,White,Y,47,2016,1,0,morgan ave l station,116
10025,White,N,51,2016,1,0,hoyt-schermerhorn a c g line,98
11213,Black,N,53,2016,1,0,utica ave and eastern parkway,70
11225,Black,N,20,2016,1,1,eastern pkwy-brooklyn museum 2 subway 3 subway,76
11233,Black,N,26,2016,1,1,hoyt-schermerhorn a c g line,98
11224,Black,N,24,2016,1,1,high street - brooklyn bridge station,96
10460,Black,N,18,2016,0,1,high street - brooklyn bridge station,96
10453,Black,N,41,2016,1,0,nevins st 2 3 4 5 lines,123
11692,Black,N,20,2016,1,,jay st - metrotech,99
11211,White,N,23,2016,1,1,marcy ave j m z line,114
11224,Black,N,44,2016,1,0,coney island-stillwell ave,66
11207,White,Y,39,2016,1,0,alabama av j subway,25
11207,White,N,21,2016,1,1,broadway and lorimer st j m station,112
11207,White,N,21,2016,1,,broadway and lorimer st j m station,112
11369,Other,Y,23,2016,1,0,atlantic ave barclays center station,27
11212,Black,N,20,2016,0,1,shepherd ave c line,144
11207,White,Y,45,2016,1,0,nostrand ave and fulton st a c station,131
11207,Black,N,24,2016,1,1,hoyt-schermerhorn a c g line,98
10472,Black,N,42,2016,1,0,jay st - metrotech,99
11206,White,N,34,2016,1,1,metropolitan and lorimer g l station,113
11213,Black,N,23,2016,1,0,utica ave and eastern parkway,70
11202,Black,N,16,2016,1,1,court st r subway/borough hall 2 subway 3 subway 4 subway 5 subway,68
10457,Black,N,17,2016,1,1,18th av and 85th st,2
11421,Black,N,16,2016,1,1,jay st - metrotech,99
11213,Black,N,30,2016,1,1,utica ave and fulton st,150
11235,White,N,44,2016,1,0,sheepshead bay b q line,143
,,N,31,2016,1,1,sheepshead bay b q line,143
,Hispanic,Y,38,2016,1,0,53 st r subway,13
11221,White,N,17,2016,1,1,jay st - metrotech,99
10458,Black,N,28,2016,1,0,nevins st 2 3 4 5 lines,123
11413,Black,N,29,2016,1,1,franklin ave and eastern parkway,84
,White,N,27,2016,1,0,myrtle - willoughby avs g line,118
11207,Black,N,55,2016,1,0,rockaway ave 3 line,140
11203,Black,N,43,2016,1,0,jay st - metrotech,99
11212,Black,N,41,2016,1,0,45 st r subway,11
11206,Black,N,33,2016,1,0,coney island-stillwell ave,66
11207,Black,N,36,2016,1,1,jay st - metrotech,99
11216,Black,N,38,2016,1,0,coney island-stillwell ave,66
